Year,Name,Place,Lat,Long,Mass_KG
1974,Yamato 74160,Antarctica,-71.75,36.08333333,0.0314
1974,Yamato 74161,Antarctica,-71.5,35.66666667,0.0421
1974,Yamato 74162,Antarctica,-71.5,35.66666667,0.00386
1974,Yamato 74163,Antarctica,-71.73333333,35.91666667,0.1342
1974,Yamato 74164,Antarctica,-71.73333333,35.88333333,0.249
1974,Yamato 74165,Antarctica,-71.73333333,35.86666667,0.203
1974,Yamato 74166,Antarctica,-71.5,35.66666667,0.0014
1974,Yamato 74167,Antarctica,-71.75,35.03333333,0.0021
1974,Yamato 74168,Antarctica,-71.5,35.66666667,0.00159
1974,Yamato 74169,Antarctica,-71.5,35.66666667,0.00078
1974,Yamato 74170,Antarctica,-71.5,35.66666667,0.00088
1974,Yamato 74171,Antarctica,-71.5,35.66666667,0.00465
1974,Yamato 74172,Antarctica,-71.5,35.66666667,0.047
1974,Yamato 74173,Antarctica,-71.5,35.66666667,0.0171
1974,Yamato 74174,Antarctica,-71.5,35.66666667,0.0209
1974,Yamato 74175,Antarctica,-71.73333333,35.45,0.0231
1974,Yamato 74176,Antarctica,-71.5,35.66666667,0.0047
1974,Yamato 74177,Antarctica,-71.5,35.66666667,0.00409
1974,Yamato 74178,Antarctica,-71.5,35.66666667,0.0072
1974,Yamato 74179,Antarctica,-71.5,35.66666667,0.0074
1974,Yamato 74180,Antarctica,-71.5,35.66666667,0.00373
1974,Yamato 74181,Antarctica,-71.5,35.66666667,0.00167
1974,Yamato 74182,Antarctica,-71.5,35.66666667,0.0107
1974,Yamato 74183,Antarctica,-71.5,35.66666667,0.003
1974,Yamato 74184,Antarctica,-71.5,35.66666667,0.00252
1974,Yamato 74185,Antarctica,-71.5,35.66666667,0.00039
1974,Yamato 74186,Antarctica,-71.5,35.66666667,0.0052
1974,Yamato 74187,Antarctica,-71.8,35.38333333,0.0065
1974,Yamato 74188,Antarctica,-71.5,35.66666667,0.0068
1974,Yamato 74189,Antarctica,-71.5,35.66666667,0.00154
1974,Yamato 74190,Antarctica,-71.81666667,35.43333333,3.24
1974,Yamato 74191,Antarctica,-71.83333333,35.51666667,1.092
1974,Yamato 74192,Antarctica,-71.6,35.25,0.42
1974,Yamato 74193,Antarctica,-71.63333333,35.58333333,1.819
1974,Yamato 74194,Antarctica,-71.5,35.66666667,0.00478
1974,Yamato 74195,Antarctica,-71.5,35.66666667,0.00355
1974,Yamato 74196,Antarctica,-71.5,35.66666667,0.00279
1974,Yamato 74197,Antarctica,-71.5,35.66666667,0.0053
1974,Yamato 74198,Antarctica,-71.5,35.66666667,0.0057
1974,Yamato 74199,Antarctica,-71.5,35.66666667,0.00328
1974,Yamato 74200,Antarctica,-71.5,35.66666667,0.0051
1974,Yamato 74201,Antarctica,-71.5,35.66666667,0.005
1974,Yamato 74202,Antarctica,-71.5,35.66666667,0.0081
1974,Yamato 74203,Antarctica,-71.5,35.66666667,0.0112
1974,Yamato 74204,Antarctica,-71.5,35.66666667,0.005
1974,Yamato 74205,Antarctica,-71.5,35.66666667,0.0034
1974,Yamato 74206,Antarctica,-71.5,35.66666667,0.0064
1974,Yamato 74207,Antarctica,-71.5,35.66666667,0.00415
1974,Yamato 74208,Antarctica,-71.5,35.66666667,0.0077
1974,Yamato 74209,Antarctica,-71.5,35.66666667,0.00498
1974,Yamato 74210,Antarctica,-71.5,35.66666667,0.0079
1974,Yamato 74211,Antarctica,-71.5,35.66666667,0.00453
1974,Yamato 74212,Antarctica,-71.5,35.66666667,0.00216
1974,Yamato 74213,Antarctica,-71.5,35.66666667,0.0063
1974,Yamato 74214,Antarctica,-71.5,35.66666667,0.0068
1974,Yamato 74215,Antarctica,-71.5,35.66666667,0.00275
